Constituency,MP,Party
Antrim East,James Martin McCalmont,Irish Unionist
Antrim Mid,Robert Torrens O'Neill,Irish Unionist
Antrim North,William Moore,Irish Unionist
Antrim South,William Ellison-Macartney,Irish Unionist
Armagh Mid,John Lonsdale,Irish Unionist
Armagh North,Edward James Saunderson,Irish Unionist
Armagh South,John Campbell,Healyite Nationalist
"Belfast, East",Gustav Wilhelm Wolff,Irish Unionist
"Belfast, North",James Horner Haslett,Irish Unionist
"Belfast, South",William Johnston,Irish Unionist
"Belfast, West",Hugh Oakeley Arnold-Forster,Liberal Unionist
Birr,Michael Reddy,Irish Parliamentary Party
County Carlow,John Hammond,Irish Parliamentary Party
Cavan East,Samuel Young,Irish Parliamentary Party
Cavan West,Thomas McGovern,Irish Parliamentary Party
Clare East,William Hoey Kearney Redmond,Irish Parliamentary Party
Clare West,John Eustace Jameson,Irish Parliamentary Party
Cork City,J. F. X. O'Brien,Irish Parliamentary Party
Cork City,William O'Brien,Irish Parliamentary Party
County Cork East,Anthony John Charles Donelan,Irish Parliamentary Party
County Cork Mid,Charles Kearns Deane Tanner,Irish Parliamentary Party
County Cork North,James Christopher Flynn,Irish Parliamentary Party
County Cork North East,William Abraham,Irish Parliamentary Party
County Cork South,Edward Barry,Irish Parliamentary Party
County Cork South East,Eugene Crean,Irish Parliamentary Party
County Cork West,James Gilhooly,Irish Parliamentary Party
Donegal East,Edward McFadden,Irish Parliamentary Party
Donegal North,William O'Doherty,Irish Parliamentary Party
Donegal South,J. G. Swift MacNeill,Irish Parliamentary Party
Donegal West,James Boyle,Irish Parliamentary Party
Down East,James Alexander Rentoul,Irish Unionist
Down North,Thomas Lorimer Corbett,Irish Unionist
Down South,Michael McCartan,Irish Parliamentary Party
Down West,Arthur Hill,Irish Unionist
County Dublin North,J. J. Clancy,Irish Parliamentary Party
County Dublin South,John Joseph Mooney,Irish Parliamentary Party
Dublin College Green,Joseph Patrick Nannetti,Irish Parliamentary Party
Dublin Harbour,Timothy Harrington,Irish Parliamentary Party
Dublin St Patrick's,William Field,Irish Parliamentary Party
Dublin St Stephen's Green,James McCann,Irish Parliamentary Party
Dublin University,Edward Carson,Conservative
Dublin University,William Edward Hartpole Lecky,Irish Unionist
Fermanagh North,Sir Edward Archdale,Irish Unionist
Fermanagh South,Jeremiah Jordan,Irish Parliamentary Party
Galway Borough,Hon. Martin Morris,Irish Unionist
Galway Connemara,William O'Malley,Irish Parliamentary Party
County Galway East,John Roche,Irish Parliamentary Party
County Galway North,John Philip Nolan,Irish Parliamentary Party
County Galway South,William Duffy,Irish Parliamentary Party
Kerry East,John Murphy,Irish Parliamentary Party
Kerry North,Michael Joseph Flavin,Irish Parliamentary Party
Kerry South,John Pius Boland,Irish Parliamentary Party
Kerry West,Thomas O'Donnell,Irish Parliamentary Party
Kildare North,Edmund Leamy,Irish Parliamentary Party
Kildare South,Matthew Joseph Minch,Irish Parliamentary Party
Kilkenny City,Pat O'Brien,Irish Parliamentary Party
County Kilkenny North,Patrick McDermott,Irish Parliamentary Party
County Kilkenny South,James O'Mara,Irish Parliamentary Party
Leitrim North,Patrick Aloysius McHugh,Irish Parliamentary Party
Leitrim South,Jasper Tully,Irish Parliamentary Party
Leix,Mark Antony MacDonnell,Irish Parliamentary Party
Limerick City,Michael Joyce,Irish Parliamentary Party
County Limerick East,William Lundon,Irish Parliamentary Party
County Limerick West,Patrick Joseph O'Shaughnessy,Irish Parliamentary Party
Londonderry,The Marquess of Hamilton,Irish Unionist
Londonderry North,John Atkinson,Conservative
Londonderry South,John Gordon,Liberal Unionist
Longford North,James Patrick Farrell,Irish Parliamentary Party
Longford South,Edward Blake,Irish Parliamentary Party
Louth North,Timothy Michael Healy,Healyite Nationalist
Louth South,Joseph Nolan,Healyite Nationalist
Mayo East,John Dillon,Irish Parliamentary Party
Mayo North,Conor O'Kelly,Irish Parliamentary Party
Mayo South,John O'Donnell,Irish Parliamentary Party
Mayo West,Robert Ambrose,Irish Parliamentary Party
Meath North,Patrick White,Irish Parliamentary Party
Meath South,James Laurence Carew,Independent Irish Parliamentary Party
Monaghan North,Edward Charles Thompson,Irish Parliamentary Party
Monaghan South,James Daly,Irish Parliamentary Party
Newry,Patrick George Hamilton Carvill,Irish Parliamentary Party
Ossory,William Delany,Irish Parliamentary Party
Roscommon North,James Joseph O'Kelly,Irish Parliamentary Party
Roscommon South,John Patrick Hayden,Irish Parliamentary Party
Sligo North,William McKillop,Irish Parliamentary Party
Sligo South,John O'Dowd,Irish Parliamentary Party
Tipperary East,Thomas Joseph Condon,Irish Parliamentary Party
Tipperary Mid,Kendal Edmund O'Brien,Irish Parliamentary Party
Tipperary North,Patrick Joseph O'Brien,Irish Parliamentary Party
Tipperary South,John Cullinan,Irish Parliamentary Party
Tullamore,Edmund Haviland-Burke,Irish Parliamentary Party
Tyrone East,Patrick Charles Doogan,Irish Parliamentary Party
Tyrone Mid,George Murnaghan,Irish Parliamentary Party
Tyrone North,Charles Hemphill,Liberal
Tyrone South,Thomas Wallace Russell,Liberal Unionist
Waterford City,John Redmond,Irish Parliamentary Party
County Waterford East,Patrick Joseph Power,Irish Parliamentary Party
County Waterford West,James John O'Shee,Irish Parliamentary Party
Westmeath North,Patrick James Kennedy,Healyite Nationalist
Westmeath South,Donal Sullivan,Irish Parliamentary Party
Wexford North,Thomas Henry Grattan Esmonde,Irish Parliamentary Party
Wexford South,Peter Ffrench,Irish Parliamentary Party
Wicklow East,Denis Joseph Cogan,Irish Parliamentary Party
Wicklow West,James O'Connor,Irish Parliamentary Party
