Constituency,MP,Party
Antrim East,James Martin McCalmont,Irish Unionist
Antrim Mid,Hon. Robert Torrens O'Neill,Irish Unionist
Antrim North,Edward Macnaghten,Irish Unionist
Antrim South,William Ellison-Macartney,Irish Unionist
Armagh Mid,"Sir James Corry, Bt",Irish Unionist
Armagh North,Edward James Saunderson,Irish Unionist
Armagh South,Alexander Blane,Irish Parliamentary Party
Belfast East,Edward Samuel Wesley de Cobain,Irish Unionist
Belfast North,"Sir William Ewart, Bt",Conservative
Belfast South,William Johnston,Conservative
Belfast West,Thomas Sexton,Irish Parliamentary Party
Birr,Bernard Molloy,Irish Parliamentary Party
County Carlow,John Aloysius Blake,Irish Parliamentary Party
Cavan East,Thomas O'Hanlon,Irish Parliamentary Party
Cavan West,Joseph Biggar,Irish Parliamentary Party
Clare East,Joseph Richard Cox,Irish Parliamentary Party
Clare West,Jeremiah Jordan,Irish Parliamentary Party
Cork City,Charles Stewart Parnell,Irish Parliamentary Party
Cork City,Maurice Healy,Irish Parliamentary Party
County Cork East,William John Lane,Irish Parliamentary Party
County Cork Mid,Charles Kearns Deane Tanner,Irish Parliamentary Party
County Cork North,James Christopher Flynn,Irish Parliamentary Party
County Cork North East,Edmund Leamy,Irish Parliamentary Party
County Cork South,J. E. Kenny,Irish Parliamentary Party
County Cork South East,John Hooper,Irish Parliamentary Party
County Cork West,James Gilhooly,Irish Parliamentary Party
Donegal East,Arthur O'Connor,Irish Parliamentary Party
Donegal North,James Edward O'Doherty,Irish Parliamentary Party
Donegal South,Bernard Kelly,Irish Parliamentary Party
Donegal West,Patrick O'Hea,Irish Parliamentary Party
Down East,Richard William Blackwood Ker,Irish Unionist
Down North,Thomas Waring,Irish Unionist
Down South,Michael McCartan,Irish Parliamentary Party
Down West,Lord Arthur Hill,Irish Unionist
Dublin County North,J. J. Clancy,Irish Parliamentary Party
Dublin County South,"Sir Thomas Esmonde, Bt",Irish Parliamentary Party
Dublin College Green,Timothy Daniel Sullivan,Irish Parliamentary Party
Dublin Harbour,Timothy Charles Harrington,Irish Parliamentary Party
